STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00442208,"DALE ENTERPRISE, VA US",1893-02-28,50,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-01,52,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-02,58,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-03,52,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-04,59,19,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-05,39,11,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-06,46,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-07,55,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-08,57,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-09,65,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-10,59,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-11,45,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-12,52,31,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-13,61,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-14,62,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-15,54,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-16,40,16,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-17,33,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-18,36,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-19,45,23,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-20,54,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-21,57,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-22,68,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-23,58,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-24,67,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-25,65,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-26,62,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-27,54,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-28,46,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-29,49,20,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-30,63,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-31,76,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-01,79,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-02,67,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-03,70,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-04,75,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-05,72,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-06,68,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-07,55,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-08,92,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-09,82,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-10,63,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-11,53,37,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-12,58,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-13,72,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-14,73,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-15,66,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-16,56,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-17,63,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-18,59,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-19,72,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-20,69,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-21,63,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-22,53,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-23,50,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-24,59,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-25,67,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-26,51,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-27,75,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-28,74,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-29,75,43,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-30,80,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-01,84,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-02,78,47,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-03,63,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-04,59,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-05,78,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-06,73,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-07,63,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-08,66,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-09,64,43,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-10,69,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-11,78,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-12,76,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-13,72,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-14,70,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-15,69,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-16,70,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-17,64,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-18,63,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-19,75,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-20,82,37,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-21,84,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-22,80,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-23,85,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-24,73,48,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-25,86,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-26,84,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-27,82,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-28,78,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-29,63,47,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-30,74,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-31,77,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-01,75,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-02,79,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-03,84,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-04,83,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-05,85,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-06,83,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-07,75,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-08,77,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-09,82,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-10,86,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-11,87,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-12,76,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-13,78,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-14,79,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-15,82,62,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-16,79,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-17,80,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-18,85,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-19,90,70,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-20,89,70,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-21,85,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-22,86,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-23,77,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-24,80,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-25,80,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-26,79,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-27,76,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-28,74,,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-29,74,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-30,76,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-01,74,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-02,79,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-03,,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-04,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-05,88,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-06,92,71,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-07,95,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-08,92,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-09,87,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-10,81,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-11,83,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-12,88,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-13,88,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-14,94,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-15,88,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-16,86,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-17,87,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-18,96,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-19,84,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-20,84,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-21,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-22,90,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-23,89,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-24,86,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-25,95,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-26,96,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-27,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-28,82,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-29,93,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-30,90,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-31,83,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-01,80,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-02,80,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-03,83,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-04,69,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-05,84,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-06,86,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-07,80,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-08,83,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-09,87,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-10,86,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-11,93,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-12,87,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-13,82,67,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-14,68,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-15,84,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-16,90,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-17,84,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-18,86,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-19,88,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-20,86,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-21,82,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-22,85,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-23,68,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-24,67,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-25,92,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-26,92,62,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-27,88,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-28,72,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-29,78,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-30,75,,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-31,70,,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-01,57,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-02,73,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-03,70,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-04,77,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-05,82,47,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-06,84,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-07,84,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-08,83,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-09,67,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-10,69,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-11,62,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-12,56,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-13,68,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-14,77,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-15,85,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-16,71,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-17,72,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-18,68,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-19,77,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-20,82,,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-21,82,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-22,84,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-23,75,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-24,78,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-25,72,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-26,59,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-27,62,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-28,67,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-29,60,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-09-30,63,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-01,64,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-02,71,48,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-03,73,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-04,70,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-05,62,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-06,72,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-07,78,62,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-08,75,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-09,82,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-10,80,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-11,76,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-12,72,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-13,64,53,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-14,60,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-15,57,48,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-16,63,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-17,68,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-18,70,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-19,69,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-20,66,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-21,65,49,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-22,62,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-23,68,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-24,75,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-25,76,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-26,60,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-27,60,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-28,64,49,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-29,40,31,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-30,42,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-10-31,52,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-01,60,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-02,60,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-03,67,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-04,47,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-05,45,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-06,54,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-07,51,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-08,48,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-09,61,37,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-10,55,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-11,51,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-12,51,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-13,60,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-14,50,31,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-15,38,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-16,42,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-17,53,28,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-18,60,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-19,45,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-20,45,23,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-21,35,23,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-22,57,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-23,46,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-24,27,17,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-25,32,10,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-26,36,10,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-27,35,20,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-28,49,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-29,60,,
USC00442208,"DALE ENTERPRISE, VA US",1893-11-30,56,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-01,54,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-02,30,15,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-03,54,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-04,33,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-05,33,19,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-06,47,17,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-07,47,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-08,44,28,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-09,43,23,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-10,51,31,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-11,50,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-12,62,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-13,32,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-14,30,11,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-15,62,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-16,58,49,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-17,35,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-18,36,19,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-19,38,28,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-20,,14,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-21,51,15,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-22,61,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-23,64,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-24,65,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-25,67,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-26,42,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-27,53,14,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-28,60,28,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-29,60,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-30,37,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-12-31,40,30,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-01,42,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-02,45,18,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-03,53,23,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-04,57,32,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-05,61,41,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-06,60,40,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-07,62,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-08,39,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-09,35,23,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-10,51,24,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-11,52,32,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-12,37,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-13,46,16,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-14,59,28,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-15,54,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-16,62,38,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-17,40,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-18,40,30,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-19,48,33,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-20,38,20,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-21,49,26,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-22,50,21,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-23,57,33,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-24,56,29,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-25,27,12,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-26,27,10,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-27,38,12,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-28,42,19,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-29,34,25,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-30,40,,
USC00442208,"DALE ENTERPRISE, VA US",1894-01-31,52,34,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-01,52,31,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-02,41,16,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-03,50,32,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-04,37,28,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-05,33,11,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-06,44,19,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-07,50,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-08,59,38,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-09,62,39,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-10,56,32,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-11,56,31,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-12,32,23,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-13,37,23,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-14,30,20,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-15,39,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-16,31,17,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-17,45,19,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-18,57,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-19,61,31,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-20,54,31,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-21,59,30,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-22,34,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-23,37,17,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-24,20,10,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-25,28,17,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-26,40,20,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-27,46,17,
USC00442208,"DALE ENTERPRISE, VA US",1894-02-28,50,22,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-01,53,21,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-02,54,25,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-03,57,28,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-04,60,24,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-05,66,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-06,64,42,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-07,63,40,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-08,64,32,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-09,65,35,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-10,63,40,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-11,69,39,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-12,57,37,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-13,63,29,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-14,54,25,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-15,50,25,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-16,70,43,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-17,75,36,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-18,77,54,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-19,79,57,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-20,76,49,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-21,74,51,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-22,82,48,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-23,76,37,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-24,59,28,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-25,48,37,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-26,28,20,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-27,30,13,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-28,43,10,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-29,48,33,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-30,47,20,
USC00442208,"DALE ENTERPRISE, VA US",1894-03-31,70,28,
USC00442208,"DALE ENTERPRISE, VA US",1894-04-01,65,54,
USC00442208,"DALE ENTERPRISE, VA US",1894-04-02,45,35,
